요양기관명,종별코드명,시도코드명,시군구코드명,읍면동,우편번호,주소,전화번호
왕십리약국,약국,서울,성북구,하월곡동,2740,"서울특별시 성북구 오패산로1길 1, (하월곡동)",02-912-2020
상도약국,약국,서울,성동구,하왕십리동,4714,"서울특별시 성동구 무학봉길 92, (하왕십리동)",02-2292-4247
365송파고은약국,약국,서울,성동구,행당동,4714,"서울특별시 성동구 행당로17길 32, 누보빌딩 105호 (행당동)",02-2292-5485
베어약국,약국,서울,송파구,방이동,5548,"서울특별시 송파구 오금로 95, 국제빌딩 1층 (방이동)",02-417-0503
소나무약국,약국,서울,강남구,삼성동,6170,"서울특별시 강남구 봉은사로114길 12, 지하 1층 (삼성동)",02-0000-0000
서초무지개약국,약국,서울,영등포구,신길동,7388,"서울특별시 영등포구 신길로 150-1, 1층 (신길동)",070-7657-0013
암사조은온누리약국,약국,서울,서초구,서초동,6630,"서울특별시 서초구 효령로 403, 4층 410호 (서초동)",0504-262-6507
스카이약국,약국,서울,강동구,암사동,5236,"서울특별시 강동구 고덕로 133, 상가동 511호 (암사동, 강동롯데캐슬퍼스트아파트)",426-3666
화인약국,약국,서울,서초구,방배동,6562,"서울특별시 서초구 방배로 199, 1층 C호 (방배동)",02-532-7225
프라자약국,약국,서울,송파구,문정동,5833,"서울특별시 송파구 중대로 80, (문정동, 롯데마트 3층)",02-449-0895
참약사한마음약국,약국,서울,관악구,봉천동,8750,"서울특별시 관악구 봉천로 391, 115호 (봉천동, 두산아파트에이상가)",02-3285-7294
한빛약국,약국,서울,강동구,성내동,5377,"서울특별시 강동구 풍성로51길 3, 1층 (성내동)",02-477-9877
파마시아약국,약국,서울,중랑구,면목동,2162,"서울특별시 중랑구 겸재로 225, 1층 (면목동)",02-2207-3588
오늘약국,약국,서울,서초구,반포동,6536,"서울특별시 서초구 강남대로85길 9, 1층 (반포동)",
제일약국,약국,서울,서초구,잠원동,6527,"서울특별시 서초구 강남대로95길 38, 1층 (잠원동)",070-8287-1493
양천그린약국,약국,서울,송파구,방이동,5550,"서울특별시 송파구 백제고분로 457, 다우빌딩 (방이동)",417-8486
사랑약국,약국,서울,양천구,신정동,8086,"서울특별시 양천구 신월로 338, 101호 (신정동)",02-0000-0000
1층엔약국,약국,서울,금천구,시흥동,8635,"서울특별시 금천구 시흥대로 189, 1층 103호 (시흥동)",02-743-2800
현대약국,약국,서울,강남구,신사동,6035,"서울특별시 강남구 강남대로 624, ICT TOWER 1층 일부호 (신사동)",02-518-3014
최선약국,약국,서울,관악구,봉천동,8744,"서울특별시 관악구 관악로 233, 1층 101호 (봉천동)",02-877-3272
라파엘약국,약국,서울,동대문구,답십리동,2615,"서울특별시 동대문구 전농로 36, (답십리동)",02-3394-5170
참소망약국,약국,서울,강서구,등촌동,7582,"서울특별시 강서구 강서로 460, 평안빌딩 1층 101호 (등촌동)",02-3662-3335
이화정문약국,약국,서울,송파구,방이동,5648,"서울특별시 송파구 양재대로 1222, 올림픽프라자 3층 15호 (방이동)",02-408-3393
새그린약국,약국,서울,강서구,마곡동,7805,"서울특별시 강서구 마곡중앙4로 74, 104~105호 (마곡동)",2662-4863
설파약국,약국,서울,송파구,풍납동,5537,"서울특별시 송파구 토성로 58, (풍납동)",02-473-6688
다정약국,약국,서울,동대문구,전농동,2531,"서울특별시 동대문구 전농로 134, (전농동)",02-2245-4501
강남성지약국,약국,서울,서초구,반포동,6536,"서울특별시 서초구 강남대로 527, 브랜드칸 타워 1층 (반포동)",02-543-8006
종로5가미래약국,약국,서울,서초구,서초동,6614,"서울특별시 서초구 강남대로 419, 파고다타워 B2층 101호 (서초동)",
호약국,약국,서울,종로구,종로5가,3129,"서울특별시 종로구 종로 211-1, 소암빌딩 1층 (종로5가)",02-766-5466
복조리약국,약국,서울,관악구,신림동,8836,"서울특별시 관악구 신림로 208, 1층 (신림동)",
송화약국,약국,서울,강동구,길동,5351,"서울특별시 강동구 천호대로187길 61, 1층 (길동)",02-477-1024
신림4번출구약국,약국,서울,강서구,내발산동,7639,"서울특별시 강서구 강서로 251, 세란빌딩 1층 3호 (내발산동)",02-2607-1566
다온약국,약국,서울,관악구,신림동,8776,"서울특별시 관악구 남부순환로 1604, 1층 (신림동)",070-8866-7637
해든약국,약국,서울,강동구,성내동,5379,"서울특별시 강동구 천호옛길 98, (성내동)",02-488-7266
성일약국,약국,서울,송파구,방이동,5643,"서울특별시 송파구 백제고분로48길 38, 101호 (방이동, 은석빌딩)",02-3432-0105
도곡약국,약국,서울,강남구,신사동,6030,"서울특별시 강남구 압구정로 160, 제성빌딩 3층 301호 (신사동)",02-546-3906
가람약국,약국,서울,강남구,도곡동,6302,"서울특별시 강남구 논현로28길 2, 1층 (도곡동)",
안암지하철약국,약국,서울,구로구,개봉동,8277,"서울특별시 구로구 경인로40길 12, GB빌딩 1층 (개봉동)",02-2614-7645
나무약국,약국,서울,성북구,안암동5가,2842,"서울특별시 성북구 고려대로 89, 안암역 지하1층 103호, 104호 (안암동5가)",02-953-8333
고척햇살약국,약국,서울,강남구,논현동,6110,"서울특별시 강남구 학동로 102, 논현역 지하층 208호 (논현동)",
명동스타약국,약국,서울,도봉구,쌍문동,1394,"서울특별시 도봉구 도당로 6, 1층 105호 (쌍문동, 쌍문동 LG트윈빌2)",02-999-8082
보룡약국,약국,서울,구로구,고척동,8241,"서울특별시 구로구 중앙로15길 29, 1층 (고척동)",02-6091-0823
온누리대광약국,약국,서울,중구,남대문로2가,4534,"서울특별시 중구 남대문로 84, 7층 (남대문로2가)",02-6260-2070
2층약국,약국,서울,노원구,상계동,1751,"서울특별시 노원구 동일로 1380, 상계동 국민은행 (상계동)",02-979-6000
건강플러스약국,약국,서울,영등포구,대림동,7416,"서울특별시 영등포구 도림로38길 4, (대림동)",02-849-1330
파크약국,약국,서울,강남구,개포동,6320,"서울특별시 강남구 개포로 303, 상가동 2층 207호 (개포동, 현대1차아파트)",02-2057-2003
온누리약국,약국,서울,노원구,상계동,1693,"서울특별시 노원구 상계로1길 38, (상계동)",02-935-5347
온누리한라약국,약국,서울,강남구,논현동,6055,"서울특별시 강남구 도산대로50길 9, 1층 (논현동, 청석빌딩)",02-3443-5561
방이프라자약국,약국,서울,노원구,상계동,1692,"서울특별시 노원구 상계로5길 12, 112호, 113호 (상계동, 동양메이저상가)",02-931-0532
뉴월드약국,약국,서울,구로구,구로동,8323,"서울특별시 구로구 구일로10길 49, (구로동, 다원그린빌)",02-862-0157
수약국,약국,서울,송파구,방이동,5644,"서울특별시 송파구 가락로 244, (방이동)",02-4182-4634
명심약국,약국,서울,중랑구,면목동,2162,"서울특별시 중랑구 겸재로49길 18, (면목동)",02-495-4091
금강약국,약국,서울,노원구,상계동,1751,"서울특별시 노원구 노해로 480, (상계동, 1층)",02-930-0580
이지약국,약국,서울,강남구,개포동,6303,"서울특별시 강남구 개포로 207, (개포동)",02-575-5867
서초21세기약국,약국,서울,동작구,본동,6906,"서울특별시 동작구 매봉로 178, B02호 (본동, 마본빌딩)",02-817-1918
굿모닝약국,약국,서울,강남구,도곡동,6270,"서울특별시 강남구 남부순환로365길 26, 1층 104호 (도곡동)",
세계로약국,약국,서울,서초구,잠원동,6510,"서울특별시 서초구 신반포로23길 30, 1층 (잠원동, 반원상가)",02-534-1127
경희우리약국,약국,서울,금천구,독산동,8547,"서울특별시 금천구 독산로 366, (독산동)",02-852-4910
온누리선약국,약국,서울,노원구,상계동,1684,"서울특별시 노원구 상계로 119, (상계동)",02-951-7274
복지약국,약국,서울,동대문구,회기동,2454,"서울특별시 동대문구 경희대로 21, 지층, 1층, 2층 (회기동)",02-9638-1134
새원약국,약국,서울,서대문구,충정로2가,3735,"서울특별시 서대문구 통일로 131, 4층 2호 (충정로2가)",02-364-9648
정일약국,약국,서울,동대문구,답십리동,2597,"서울특별시 동대문구 천호대로 227, (답십리동)",02-2217-3606
건강한약국,약국,서울,강동구,명일동,5296,"서울특별시 강동구 양재대로130길 11, (명일동)",02-442-0107
글로리아약국,약국,서울,강남구,대치동,6279,"서울특별시 강남구 도곡로 458, 102호 (대치동, 정일빌딩)",02-501-8071
기림약국,약국,서울,금천구,독산동,8547,"서울특별시 금천구 남부순환로 1384, (독산동)",02-866-1191
화곡메디칼약국,약국,서울,종로구,평창동,3009,"서울특별시 종로구 평창문화로 75, A109호 (평창동, 글로리아타운)",02-3216-6700
용산약국,약국,서울,은평구,응암동,3467,"서울특별시 은평구 응암로22길 8, (응암동)",02-373-9725
메디칼약국,약국,서울,강서구,화곡동,7761,"서울특별시 강서구 가로공원로76길 56, (화곡동)",02-2605-4155
아카데미약국,약국,서울,용산구,한강로2가,4386,"서울특별시 용산구 한강대로 92, 지층 (한강로2가, LS용산타워)",02-794-7952
오렌지약국,약국,서울,마포구,서교동,3996,"서울특별시 마포구 월드컵로14길 5, 1층 (서교동)",02-3141-4757
참약국,약국,서울,마포구,도화동,4168,"서울특별시 마포구 마포대로 52, 205호, 206호 (도화동, 고려아카데미텔 II)",02-717-2388
정성온누리약국,약국,서울,중랑구,망우동,2066,"서울특별시 중랑구 망우로 473, 무궁화빌딩 1층 (망우동)",02-2207-5230
열린약국,약국,서울,강남구,일원동,6351,"서울특별시 강남구 일원로 95, 지하1층 103호 (일원동, 신영프라자)",02-3412-2577
인제약국,약국,서울,강남구,도곡동,6259,"서울특별시 강남구 도곡로 120, 1층 (도곡동)",02-554-6979
길동중앙약국,약국,서울,구로구,고척동,8235,"서울특별시 구로구 고척로 142-1, (고척동)",02-2625-6040
메디칼세영약국,약국,서울,중랑구,상봉동,2121,"서울특별시 중랑구 망우로 214, 1층 (상봉동)",02-434-6870
메디슨약국,약국,서울,강동구,길동,5351,"서울특별시 강동구 천호대로187길 49, 1층 (길동)",02-484-7747
온누리학마을약국,약국,서울,마포구,망원동,3962,"서울특별시 마포구 월드컵로 159, 1층 (망원동)",02-337-1950
고속터미널약국,약국,서울,강북구,미아동,1192,"서울특별시 강북구 솔샘로 184, SK아파트주상가 115~116호(미아동) (미아동)",02-982-7247
메디칼바른약국,약국,서울,도봉구,쌍문동,1429,"서울특별시 도봉구 해등로 255, 101동 2층 222호 (쌍문동, 에벤에셀아파트)",070-4256-9231
홈타운약국,약국,서울,강남구,역삼동,6212,"서울특별시 강남구 테헤란로 328, 401호 (역삼동, 동우빌딩)",02-568-5268
영등포제일약국,약국,서울,양천구,신정동,8109,"서울특별시 양천구 신정로14길 6, 103호 (신정동, 학마을상가 1단지)",02-2066-8158
참사랑약국,약국,서울,서초구,반포동,6545,"서울특별시 서초구 신반포로 194, 서울고속버스터미널 본관동1층 쇼케이스1호 (반포동)",02-595-2260
도봉월드약국,약국,서울,구로구,구로동,8294,"서울특별시 구로구 공원로7길 40, 1층 (구로동, 대영빌딩)",02-866-1914
참바로약국,약국,서울,동대문구,장안동,2638,"서울특별시 동대문구 장안벚꽃로 107, 2층 6호 (장안동, 현대홈타운제1상가동)",02-2213-9847
서울약국,약국,서울,강동구,천호동,5307,"서울특별시 강동구 양재대로 1579, 2층 (천호동, 한영빌딩)",02-429-6520
푸른온누리약국,약국,서울,영등포구,영등포동6가,7251,"서울특별시 영등포구 영중로 51-1, (영등포동6가)",02-2068-7277
무지개약국,약국,서울,광진구,중곡동,4931,"서울특별시 광진구 용마산로 23, (중곡동)",02-446-8543
태평양약국,약국,서울,도봉구,방학동,1331,"서울특별시 도봉구 마들로 650, (방학동)",02-3491-3158
중앙프라자약국,약국,서울,강북구,번동,1230,"서울특별시 강북구 한천로105길 7, 207호 (번동, 주공아파트1단지상가)",02-987-9885
중앙종로약국,약국,서울,서대문구,홍제동,3629,"서울특별시 서대문구 통일로 464, 3층 (홍제동)",02-379-7147
기린약국,약국,서울,종로구,평동,3181,"서울특별시 종로구 새문안로 19, (평동)",02-720-0333
애플약국,약국,서울,광진구,자양동,5085,"서울특별시 광진구 뚝섬로 498-1, A,B동 1층 (자양동)",462-8604
미래팜약국,약국,서울,은평구,갈현동,3330,"서울특별시 은평구 통일로 863, (갈현동)",02-383-1178
보람온누리약국,약국,서울,동작구,상도동,6956,"서울특별시 동작구 상도로 178, (상도동)",02-814-1943
나은약국,약국,서울,성동구,용답동,4804,"서울특별시 성동구 용답중앙15길 1, (용답동)",02-2243-6894
메디칼갑산약국,약국,서울,성동구,옥수동,4732,"서울특별시 성동구 독서당로 175, 101-2호 (옥수동, 극동그린아파트)",02-2299-8850
상계동문약국,약국,서울,강서구,염창동,7555,"서울특별시 강서구 양천로 684, 1층 (염창동)",02-3663-1205
김약국,약국,서울,노원구,상계동,1751,"서울특별시 노원구 노해로 492, 102호, 103호 (상계동, 프린스빌딩)",02-932-9595
송파새롬약국,약국,서울,중랑구,묵동,2023,"서울특별시 중랑구 신내로21길 16, 204호 (묵동, 신내두산아파트 상가동)",02-3421-0021
녹원약국,약국,서울,강동구,명일동,5292,"서울특별시 강동구 양재대로 1620, 명일빌딩 101호 (명일동)",070-8877-4482
천사약국,약국,서울,동대문구,휘경동,2436,"서울특별시 동대문구 망우로 123, 1층 (휘경동)",02-2217-5060
샘약국,약국,서울,노원구,상계동,1756,"서울특별시 노원구 동일로 1352, 1층 (상계동, 형인빌딩)",02-951-8572
미소약국,약국,서울,영등포구,대림동,7423,"서울특별시 영등포구  대림로22길 37, (대림동)",02-835-7729
덕성온누리약국,약국,서울,송파구,가락동,5718,"서울특별시 송파구 송파대로28길 27, (가락동, 성원상떼빌 102동 202호)",02-403-4131
실로암약국,약국,서울,송파구,방이동,5630,"서울특별시 송파구 백제고분로50길 26, 1층 (방이동)",02-423-0203
석계태평양약국,약국,서울,관악구,봉천동,8729,"서울특별시 관악구 은천로25길 69, 1층 (봉천동, 삼성프라자)",02-883-4227
햇살약국,약국,서울,동대문구,용두동,2566,"서울특별시 동대문구 왕산로26길 13, 1층 (용두동)",02-965-7804
대림우리약국,약국,서울,노원구,중계동,1720,"서울특별시 노원구 한글비석로 270, 스카이타워 1층 103호 (중계동)",02-933-5826
은행나무약국,약국,서울,광진구,중곡동,4910,"서울특별시 광진구 면목로 126, (중곡동)",02-3409-2744
중앙명성약국,약국,서울,성북구,돈암동,2826,"서울특별시 성북구 아리랑로 89, 102호 (돈암동, 일신건영휴먼빌 상가 )",02-922-0555
이화태평양약국,약국,서울,성동구,용답동,4804,"서울특별시 성동구 용답중앙15길 11, (용답동)",02-2216-5360
목동파라곤약국,약국,서울,노원구,월계동,1904,"서울특별시 노원구 화랑로 321, (월계동, 1층)",02-915-1190
새암온누리약국,약국,서울,구로구,신도림동,8208,"서울특별시 구로구 경인로67길 23, (신도림동,대우푸르지오2차 101동 311호)",02-2631-4959
압구정예주약국,약국,서울,구로구,구로동,8369,"서울특별시 구로구 도림로 92, (구로동)",02-855-7538
그랜드온누리약국,약국,서울,금천구,시흥동,8573,"서울특별시 금천구 금하로 705, 2층 (시흥동)",02-2613-2234
알파약국,약국,서울,동작구,흑석동,6972,"서울특별시 동작구 흑석로 106-7, (흑석동)",02-822-2338
편한약국,약국,서울,도봉구,창동,1470,"서울특별시 도봉구 덕릉로 239, (창동)",02-991-8447
엔씨(NC)약국,약국,서울,양천구,목동,7997,"서울특별시 양천구 목동서로 155, 목동파라곤 지하1층 7호 (목동)",02-2648-6584
올리브약국,약국,서울,강북구,번동,1062,"서울특별시 강북구 도봉로 308, 1층 (번동)",02-995-2552
신세명약국,약국,서울,강남구,압구정동,6005,"서울특별시 강남구 압구정로29길 65, 442빌딩 지하1층 (압구정동)",02-545-3819
행복이열리는약국,약국,서울,동대문구,장안동,2644,"서울특별시 동대문구 장한로 14, (장안동)",070-4229-1954
수정약국,약국,서울,송파구,신천동,5510,"서울특별시 송파구 올림픽로 289, 잠실시그마타워 지하1층 비101-3호 (신천동)",02-422-2261
은평오렌지약국,약국,서울,용산구,한강로3가,4387,"서울특별시 용산구 서빙고로 17, 용산센트럴파크 해링턴스퀘어 1층 47호 (한강로3가)",02-793-8887
피플팜문래약국,약국,서울,강서구,등촌동,7584,"서울특별시 강서구 강서로56길 17, 지하1층 (등촌동)",2667-9852
아이메디칼약국,약국,서울,은평구,응암동,3464,"서울특별시 은평구 응암로 308, (응암동)",02-359-3841
종로수약국,약국,서울,동작구,흑석동,6972,"서울특별시 동작구 서달로 163, (흑석동)",02-812-0993
가까운우리약국,약국,서울,성동구,금호동3가,4730,"서울특별시 성동구 독서당로 299-2, 1층 (금호동3가)",02-2253-6060
뉴욕약국,약국,서울,영등포구,영등포동4가,7301,"서울특별시 영등포구 영등포로36길 16, (영등포동4가)",02-2678-2358
서안약국,약국,서울,은평구,진관동,3306,"서울특별시 은평구 진관2로 29-21, 113,114호 (진관동, 드림스퀘어)",02-389-5553
메디칼우리약국,약국,서울,영등포구,문래동3가,7297,"서울특별시 영등포구  당산로 34-0, (문래동3가)",02-2672-9672
드림약국,약국,서울,성북구,하월곡동,2733,"서울특별시 성북구 동소문로46길 18, 101호, 102호 (하월곡동, 삼전솔하임3차)",02-942-3365
라임약국,약국,서울,관악구,봉천동,8722,"서울특별시 관악구 보라매로 4, 1층 (봉천동)",02-877-0789
양재뿌리약국,약국,서울,은평구,진관동,3312,"서울특별시 은평구 통일로 1031, 101호 (진관동)",
연세희망약국,약국,서울,강남구,역삼동,6134,"서울특별시 강남구 테헤란로 107, 1층 (역삼동)",070-4147-3039
햇님약국,약국,서울,영등포구,양평동5가,7207,"서울특별시 영등포구 양평로 127, (양평동5가)",02-2631-6967
여의도플러스약국,약국,서울,용산구,효창동,4317,"서울특별시 용산구 효창원로 142, (효창동, 중앙병원)",02-713-3757
이화메디약국,약국,서울,노원구,공릉동,1845,"서울특별시 노원구 동일로 1044, 1층 (공릉동)",971-6040
이소약국,약국,서울,노원구,상계동,1607,"서울특별시 노원구 동일로 1677, 1층 (상계동, 제성빌딩)",02-937-0400
더참사랑약국,약국,서울,동작구,대방동,7055,"서울특별시 동작구 여의대방로 142, (대방동)",02-813-7779
곰돌이스타약국,약국,서울,서초구,서초동,6735,"서울특별시 서초구 남부순환로 2585, 25호 (서초동, 양재역)",02-572-4799
밝은마음약국,약국,서울,은평구,갈현동,3334,"서울특별시 은평구 연서로 175, (갈현동)",02-353-3589
망원그랜드약국,약국,서울,광진구,중곡동,4929,"서울특별시 광진구 천호대로111길 19, (중곡동)",02-777-0012
나음온누리약국,약국,서울,영등포구,여의도동,7241,"서울특별시 영등포구 여의공원로 101, C.C.M.M빌딩 B117호 (여의도동)",02-3775-0995
새빛약국,약국,서울,영등포구,당산동3가,7259,"서울특별시 영등포구 당산로 122, 우미빌딩 1층 102호 (당산동3가)",
고덕3층약국,약국,서울,강서구,화곡동,7694,"서울특별시 강서구 강서로 242, 상가동 4층 17호 (화곡동, 강서힐스테이트)",02-2699-8681
보라매서울약국,약국,서울,광진구,자양동,5026,"서울특별시 광진구 아차산로 361, 1층 (자양동)",02-455-7077
해든우리약국,약국,서울,서초구,방배동,6584,"서울특별시 서초구 방배로 226, 3층 303호 (방배동)",02-595-8795
중계상록수약국,약국,서울,강남구,신사동,6031,"서울특별시 강남구 논현로 841, 제이비 미소빌딩 110호 (신사동)",02-6203-7770
아크로약국,약국,서울,마포구,망원동,4012,"서울특별시 마포구 월드컵로 79, 유용빌딩 1층 (망원동)",02-322-2862
성모약국,약국,서울,강동구,성내동,5378,"서울특별시 강동구 올림픽로 620, 예투빌딩 1층 (성내동)",02-488-0803
현약국,약국,서울,노원구,상계동,1762,"서울특별시 노원구 동일로 1405, 국민은행노원지점 1층 (상계동)",02-3391-7770
헤르바당산역약국,약국,서울,강동구,명일동,5269,"서울특별시 강동구 고덕로 266, 고덕역 대명벨리온 312호 (명일동)",02-429-9929
세로수길약국,약국,서울,동작구,신대방동,7071,"서울특별시 동작구 보라매로5길 15, 전문건설회관빌딩 지하1층 C-5호 (신대방동)",02-833-1358
봄봄약국,약국,서울,서대문구,미근동,3738,"서울특별시 서대문구 충정로 70, 웨스트게이트타워 2층 (미근동)",02-313-8763
천호바로약국,약국,서울,노원구,중계동,1714,"서울특별시 노원구 중계로 218, 원광빌딩 1층 102호 (중계동)",02-931-6528
미아약국,약국,서울,마포구,도화동,4168,"서울특별시 마포구 마포대로 68, 210-2호 (도화동, 마포아크로타워)",
늘봄약국,약국,서울,동대문구,청량리동,2573,"서울특별시 동대문구 왕산로 193, 1층 102호 (청량리동)",02-960-7784
오늘의약국,약국,서울,금천구,가산동,8506,"서울특별시 금천구 가산디지털1로 149, 1층 103호 (가산동, 신한이노플렉스)",830-4040
루이약국,약국,서울,영등포구,당산동6가,7214,"서울특별시 영등포구 양평로 40, 당산역 지하1층 (당산동6가)",
더나은약국,약국,서울,강남구,신사동,6035,"서울특별시 강남구 강남대로152길 46, 1층 (신사동)",02-518-1374
학동역약국,약국,서울,강북구,수유동,1073,"서울특별시 강북구 도봉로 323, 용신빌딩 102호 (수유동)",02-998-8283
개포종로온누리약국,약국,서울,강동구,천호동,5328,"서울특별시 강동구 올림픽로 654, 삼영빌딩 1층 (천호동)",02-470-1585
크리스마스약국,약국,서울,강북구,미아동,1211,"서울특별시 강북구 도봉로 45, 숭인시장 1층 (미아동)",02-988-0246
곰돌이약국,약국,서울,강남구,신사동,6032,"서울특별시 강남구 논현로159길 17, 101호 (신사동)",02-6465-7075
클래시안약국,약국,서울,노원구,공릉동,1849,"서울특별시 노원구 동일로 1000, 1층 102호 (공릉동)",
밝은중앙약국,약국,서울,강남구,역삼동,6144,"서울특별시 강남구 봉은사로44길 31, (역삼동)",
태양당약국,약국,서울,영등포구,당산동2가,7264,"서울특별시 영등포구 당산로 83, 1층 105-1호 (당산동2가, 한화포레나당산)",02-3280-5837
노원연세약국,약국,서울,강남구,논현동,6112,"서울특별시 강남구 학동로 180, 학동역 210호 (논현동)",02-542-0301
렉슬4층약국,약국,서울,강남구,개포동,6325,"서울특별시 강남구 선릉로 42, 1층 (개포동)",02-575-2485
한마음약국,약국,서울,송파구,잠실동,5501,"서울특별시 송파구 올림픽로 119, 잠실파인애플상가 2층 2A02호 (잠실동)",02-424-1225
건대바른약국,약국,서울,중구,신당동,4580,"서울특별시 중구 왕십리로 407, B2-05-02호 (신당동, 신당 파인힐 하나유보라)",02-6953-7635
부원약국,약국,서울,영등포구,신길동,7388,"서울특별시 영등포구 신길로28길 9, B1층 1호 (신길동, 힐스테이트 클래시안)",02-6368-7490
구약국,약국,서울,송파구,풍납동,5537,"서울특별시 송파구 강동대로 73, (풍납동)",02-482-2621
삼성약국,약국,서울,관악구,봉천동,8716,"서울특별시 관악구 국회단지길 10, 1층 (봉천동)",02-883-2176
아이레몬약국,약국,서울,노원구,상계동,1704,"서울특별시 노원구 노원로 412, 멜론플러스마트 내부 1층 (상계동)",02-6949-2531
동삼약국,약국,서울,영등포구,여의도동,7241,"서울특별시 영등포구 은행로 54, 신한드림리버오피스텔 B107호 (여의도동)",02-783-0624
다현온누리약국,약국,서울,강남구,도곡동,6276,"서울특별시 강남구 선릉로 225, 도곡렉슬상가 4층 405-1호 (도곡동)",02-574-6674
일등약국,약국,서울,은평구,신사동,3441,"서울특별시 은평구 은평터널로 196, (신사동)",02-309-1881
강남셀리뉴약국,약국,서울,광진구,화양동,5030,"서울특별시 광진구 능동로 110, 7호선 건대입구역 지하2층 204호 (화양동)",02-456-2393
새푸른약국,약국,서울,성동구,성수동2가,4775,"서울특별시 성동구 성덕정길 80, 부원약국 (성수동2가)",02-463-4247
우일약국,약국,서울,관악구,봉천동,8788,"서울특별시 관악구 관악로14길 52, (봉천동)",02-872-7542
믿음약국,약국,서울,강남구,역삼동,6232,"서울특별시 강남구 강남대로 396, 강남역 E52-1호 (역삼동)",
세란약국,약국,서울,관악구,신림동,8774,"서울특별시 관악구 신원로 21, (신림동)",02-855-4158
베리타스약국,약국,서울,송파구,삼전동,5606,"서울특별시 송파구 삼전로 84, CK빌딩(씨케이빌딩) 102호 (삼전동)",02-6949-4121
청담엘약국,약국,서울,중랑구,면목동,2210,"서울특별시 중랑구 면목로 344-1, (면목동)",02-433-3760
송파샘약국,약국,서울,강남구,신사동,6022,"서울특별시 강남구 언주로167길 46, 1층 2호 (신사동)",02-543-3188
종각역약국,약국,서울,양천구,목동,7946,"서울특별시 양천구 목동중앙북로 21, 102호 (목동)",02-6084-7334
송도약국,약국,서울,강남구,청담동,6012,"서울특별시 강남구 도산대로 513, 양원빌딩 1층 101호 (청담동)",02-400-1640
군자여기약국,약국,서울,관악구,봉천동,8832,"서울특별시 관악구 쑥고개로 122, 1층 (봉천동)",02-879-0678
지음약국,약국,서울,관악구,신림동,8846,"서울특별시 관악구 원신2길 17, 인제약국 (신림동)",02-877-8597
