name,Closed Notice_Holiday,Emergency Room_Day_Operation Status,Emergency Room_Night_Operation Status,Consultation Start Time_Sunday,Consultation End Time_Sunday,Consultation Start Time_Monday,Consultation End Time_Monday,Consultation Start Time_Tuesday,Consultation End Time_Tuesday,Consultation Start Time_Wednesday,Consultation End Time_Wednesday,Consultation Start Time_Thursday,Consultation End Time_Thursday,Consultation Start Time_Friday,Consultation End Time_Friday,Consultation Start Time_Saturday,Consultation End Time_Saturday
천지한의원,오전10시부터 오후 4시까지 진료합니다.,N,N,,,1000,1900,1400,2100,1000,1900,1400,2100,1000,1900,1000,1600
김동훈한의원,전부 휴진,N,N,,,1000,1830,1000,1830,1000,1830,1000,1300,1000,1830,1000,1300
소문한의원,진료,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1330
세유한의원,전부 휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
이혜진한의원,휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
남궁한의원,휴무,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1500
소생한의원,휴진,N,N,,,930,1830,930,1830,930,1830,1400,1830,930,1830,930,1410
이승하한의원,휴무,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1300
내몸편안한의원,,N,N,,,920,1850,920,1850,920,1850,920,1850,920,1850,920,1500
대운한의원,휴무,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1330
초심한의원,,N,N,,,,,,,,,,,,,,
김승한의원,09:00~18:30,N,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
전란희한의원,휴진,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
소리청한의원,전부휴진,N,N,,,930,1800,930,1800,930,1800,1400,1800,930,1800,930,1300
우리가족한의원,휴진,N,N,0,0,900,1800,900,1800,900,1800,900,1800,900,1800,900,1600
한샘한의원,오후 5시 이후,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
경세민한의원,휴무,N,N,930,1400,930,1900,930,1900,930,1900,1400,1900,930,1900,930,1400
창해한의원,오후 1시 이후,N,N,,,,,,,,,,,,,,
효당한의원,휴진,N,N,,,900,1800,900,1800,900,1800,900,1300,900,2100,,
김용덕한의원,오전 10시부터 오후 3시까지 진료,N,N,,,1000,1900,1000,1900,,,1000,1900,1000,1900,1000,1500
곽상호한의원,,N,N,,,,,,,,,,,,,,
경주한의원,9시~17시,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
다선한의원,,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
소전경희한의원,휴진,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600
부산영천손한의원,"휴진(단, 대체공휴일 및 임시공휴일은 오후2시까지)",N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
시선한의원,9:30~16:00,N,N,,,930,1930,930,1930,930,1930,1200,2130,930,1930,930,1600
온정한의원,9시30분~2시30분(점심시간 없이),N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1500
해밀한의원,,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1230
드림한의원,휴무,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
장산한의원,,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1600
남천한의원,,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1700
선하한의원,휴진,N,N,,,,,,,,,,,,,,
푸른솔한의원,전부 휴진,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
생기한의원,전부휴진,N,Y,,,800,2200,800,2200,800,2200,800,2200,800,2200,800,1300
웰니스한의원,전부 휴진,N,N,,,1000,1830,1000,1830,,,1000,1830,1000,1830,1000,1330
고현한의원,,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1500
가온누리한의원,,N,N,,,1000,1900,1000,1900,1000,1900,1500,1900,1000,1900,1000,1400
일광한의원,전화문의,N,N,,,930,1900,930,1900,930,1900,,,930,1900,930,1600
편작한의원,오후 4시 이후,N,N,,,900,,900,1900,900,1900,900,1300,900,1900,900,1600
안국한의원,전부 휴진,N,N,,,,,,,,,,,,,,
청아인한의원,공휴일 진료,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
대추나무한의원,전부 휴진,N,N,,,900,630,900,630,900,630,900,630,900,630,900,1300
강윤호한의원,전부휴진,N,N,,,1000,1800,1000,1800,1400,2100,1000,1800,1000,1800,1000,1300
삼동한의원,국가공휴일 휴진,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600
김민수한의원,5시이후,N,N,900,1500,900,1830,900,1830,900,1830,900,1830,900,1830,900,1700
김수철한의원,오후 5시 이후 휴진 (진료: 오전 9시 ~ 오후 5시),N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
신농한의원,,N,N,,,,,,,,,,,,,,
상화한의원,전부 휴진,N,N,,,930,1800,930,2000,930,1800,930,2000,930,1800,930,1330
심재원한의원,오후 5시 이후,N,N,,,,,,,,,,,,,,
365동백한의원,휴진,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
청림한의원,휴무,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1600
다산미즈한의원,전부 휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1430
현앤정일침한의원,전부 휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1330
바른해인한의원,전부휴진,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1600
물만골한의원,,N,N,1000,1400,930,1900,930,1900,930,1900,,,930,1900,930,1900
나무한의원,"진료(1월1일, 어린이날, 성탄절 휴진)",N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
효원한의원,전부 휴진,N,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
일맥한의원,오전 10시 ~오후 3시 점심시간 없이 진료,N,N,,,,,,,,,,,,,,
이정원한의원,휴무,N,N,,,830,1800,830,1800,1300,2000,830,1800,830,1800,830,1300
명한의원,전부 휴진,N,N,,,930,1830,930,1830,930,1830,930,1300,930,1830,930,1300
덕천한의원,,N,N,,,930,1900,930,2000,930,1900,930,2000,930,1900,930,1700
제민한의원,진료09시00-오후1시,N,N,0,0,930,1900,930,1900,930,1900,930,1900,930,1900,900,1300
산삼한의원,전부 휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1300
초읍해맑은한의원,전부 휴진,N,N,,,1030,2030,1030,2030,,,1030,2030,1030,2030,1030,1400
나비솔한의원,전부휴진,N,N,900,1600,900,1700,,,900,1700,900,1700,,,900,1600
김재연한의원,오후 3시이후,N,N,,,930,1900,930,1500,930,1900,,,930,1900,930,1500
해광한의원,오후3시까지진료.,N,N,,,900,2100,900,1900,900,1900,900,2100,900,1900,900,1500
박인범한의원,09:00-14:00,N,N,,,900,1900,900,1900,900,1300,900,1900,900,1900,900,1400
윤혜리한의원,오후 3시 이후,N,N,930,1500,930,2000,930,2000,930,2000,930,2000,930,2000,930,1500
하늘마음한의원,휴진,N,N,,,,,,,,,,,,,,
지성한의원,9시 30분~ 2시 까지 근무,N,N,,,930,1800,930,2000,,,930,2000,930,1800,930,1400
경희홍익한의원,전부 휴진,N,N,,,830,1800,830,1800,830,1800,830,1300,830,1800,830,1400
이동윤한의원,2시까지 진료,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
평안한의원,,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
건담한의원,휴진/대체공휴일 진료,N,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
경희은한의원,전부 휴진,N,N,,,,,,,,,,,,,,
덕산한의원,전부 휴진,N,N,,,1000,1800,1000,2100,1000,1800,1000,2100,1000,1800,930,1530
코코한의원,,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
다솜한의원,전부휴진,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
괴정동의한의원,전부 휴진,N,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1300
강한의원,전부 휴진,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
해수한의원,전부휴진,Y,N,,,1000,2000,1000,1800,1000,2000,1000,1800,1000,1800,930,1500
버드나무한의원,,N,N,,,,,,,,,,,,,,
정담한의원,오후 1시까지 진료,N,N,,,900,1830,900,1830,900,1300,900,1830,900,1830,900,1300
보경한의원,,N,N,,,1000,1830,1000,1830,1400,1830,1000,1830,1000,1830,1000,1500
재생한의원,전부휴진,N,N,,,900,1800,900,1800,900,1800,900,1300,900,1800,900,1800
호박한의원,휴진,N,N,,,930,650,930,650,930,650,930,650,930,650,930,1500
민창한의원,전부휴진,N,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1300
해은한의원,,N,N,,,,,,,,,,,,,,
청담약손한의원,"15시 이후휴진, 설,추석명절휴무",N,N,0,0,900,2000,900,1900,900,1900,900,1900,900,2000,900,1500
이성록한의원,오전진료(9;30~13;30),N,N,,,930,1830,930,1930,930,1830,1400,1930,930,1830,930,1330
평화강한의원,,N,N,,,930,2100,930,1900,930,1900,1400,2100,930,1900,900,1500
영도한의원,9시- 14시까지 진료합니다.,N,N,,,900,1900,900,1900,900,1900,1400,2100,900,1900,900,1400
대신한의원,9:30~13:30,N,N,,,930,1900,930,1900,930,1900,930,1400,930,1900,930,1400
가온자리한의원,전부휴진,N,N,,,900,1930,900,1900,900,1900,900,1900,900,1930,,
호한의원,5시까지,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
세현한의원,9시-1시까지,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
장산부부한의원,휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
정관고려한의원,전부 휴진,N,N,,,930,1900,930,1900,930,1900,930,1300,930,1900,930,1300
우성한의원,휴진,N,N,,,830,1900,830,1900,830,1900,830,1900,830,1900,830,1900
센텀수한의원,전부 휴진,Y,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
동의서면한의원,휴진,N,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,,
평거한의원,,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1500
사암통도한의원,종일 휴진,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
해맑은한의원,전부 휴진,N,N,,,,,,,,,,,,,,
참힐링한의원,휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1300
이루다한의원,,N,N,,,930,2030,930,1900,,,930,1900,930,2030,900,1500
금강한의원,전부 휴진,N,N,,,,,,,,,,,,,,
바른몸청담한의원,전부휴진,N,N,,,930,1900,930,1900,930,1900,,,930,1900,930,1300
유진한의원,휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
주례용한의원,전부휴진,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1530
허재규한의원,"일요일,수요일 제외한 공휴일은 정상진료",N,N,,,900,1800,900,1800,,,900,1800,900,1800,900,1800
미담한의원,전부휴진,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1400
김상대한의원,오후 2시 이후,N,N,,,930,2000,930,2000,930,2000,930,2000,930,2000,930,1400
범일신통한의원,휴진,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1500
제일한의원,9:30~14:00 진료,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
반여한의원,,N,N,,,930,2100,930,2100,930,2100,930,2100,930,2100,930,1400
대성류한의원,전부휴진',N,N,,,900,1900,900,2100,900,1900,,,900,2100,900,1400
마이비한의원,,N,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
참사랑한의원,전부휴진,N,N,0,0,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
경희세광한의원,휴진없음(8:00~13:00까지 진료),N,N,900,1300,800,2000,800,2000,800,2000,800,2000,800,2000,800,1700
두실정담한의원,,N,N,,,930,2000,930,2000,930,2000,930,1600,930,2000,930,1600
자연드림한의원,9:30 ~ 1: 00,N,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1500
광명한의원,,N,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
명제한의원,휴뮤,N,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
자윤수한의원,휴진,N,N,,,900,1900,900,1900,900,1900,900,1500,900,1900,900,1500
동래우리한의원,09시30분~14시 00분이후 휴진,N,N,,,930,2000,930,2000,930,2000,930,2000,930,2000,930,1400
사랑가득한의원,,N,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1400
새봄한의원,전부 휴진,N,N,,,900,1800,900,1800,,,900,1800,900,1800,900,1300
청랑한의원,전부 휴진,N,N,,,930,2100,930,1900,930,2100,930,1900,930,1900,930,1500
황금약손한의원,휴진,N,N,,,900,1500,900,2000,900,1500,900,2000,900,1500,900,1300
