name,Closed Notice_Holiday,Emergency Room_Night_Operation Status,Consultation Start Time_Sunday,Consultation End Time_Sunday,Consultation Start Time_Monday,Consultation End Time_Monday,Consultation Start Time_Tuesday,Consultation End Time_Tuesday,Consultation Start Time_Wednesday,Consultation End Time_Wednesday,Consultation Start Time_Thursday,Consultation End Time_Thursday,Consultation Start Time_Friday,Consultation End Time_Friday,Consultation Start Time_Saturday,Consultation End Time_Saturday
태연한의원,전부 휴진,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1600
행림한의원,휴진,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
괴정한의원,휴무,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
세방 한의원,전부휴진,N,,,,,,,,,,,,,,
정양삼한의원,문의,N,,,930,1800,930,1800,930,1800,,,930,1800,930,1600
동제한의원,09시00분~17시00분,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1700
국민한의원,10시00분~12시00분 진료합니다.,N,,,1000,1800,1000,1800,1000,1800,1000,1800,1000,1800,1000,1200
명신한의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
으뜸한의원,,N,,,900,1900,900,1900,900,2000,900,2000,900,1900,900,1600
인동한의원,휴진,N,,,,,,,,,,,,,,
경인한의원,진료여부를 전화로 확인하십시오.,N,,,930,1830,930,1830,930,1830,1400,1830,930,1830,930,1230
배정엽한의원,오전9:30~오후5:00,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1700
광도한의원,09시00분~13시00분,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
정재영한의원,전부 휴진,N,,,930,1830,930,1830,930,1830,,1830,930,1830,930,1230
경성한의원,오후 5시 까지 진료,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
신통한의원,전부휴진,N,,,,,,,,,,,,,,
개금한의원,,N,840,1200,840,1800,840,1800,840,1800,840,1800,840,1800,840,1400
참조은한의원,,N,,,,,,,,,,,,,,
내성한의원,오후 4시 이후,N,,,,,,,,,,,,,,
혜광편작한의원,오후 5시 이후,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1700
삼대한의원,,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
솔뫼한의원,09시~16시 진료,N,900,,900,2100,900,2100,900,2100,900,2100,900,2100,900,1600
맑은누리한의원,09:00~14:00,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
송광한의원,오후1시,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
신명한의원,,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1300
세광한의원,전부휴진,N,,,1030,500,1030,500,1030,500,1030,500,1030,500,,
송산한의원,4시까지 (3시까지접수)  미리전화필수,N,,,0,0,1000,1830,1000,1830,1000,1830,1000,1830,1000,1600
신생한의원,오후 3시 이후,N,,,900,1640,900,1640,900,1640,900,1640,900,1640,900,1500
신창한의원,병원사정에따라운영,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
동춘당한의원,오전 09:30-12:30 시,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1230
사상한의원,전부 휴진,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1530
태극한의원,휴진(예약진료),N,,,900,1800,900,1800,900,1800,900,1800,900,1800,,
부평한의원,,N,1030,1400,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
약초한의원,휴진,N,,,930,1740,930,1740,930,1740,930,1230,930,1740,930,1230
경동한의원,오후 4시 까지 진료,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600
연한의원,전부휴진,N,,,,,,,,,,,,,,
삼진한의원,전부 휴진,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
태강 한의원,,N,,,930,1900,930,1900,930,1900,1400,1900,930,1900,930,1400
웅진한의원,,N,,,,,,,,,,,,,,
영천배골한의원,휴진,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
대건한의원,휴진,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
동평한의원,,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
이딸야한의원,9시 30분~2시(점심 시간 없이)까지 진료,N,,,1000,1830,1000,1830,1000,1830,1300,1830,1000,1830,930,1400
김효건한의원,전부휴진,N,0,0,930,1900,930,1900,930,1900,930,1900,930,1900,930,1600
경원한의원,전부 휴진,N,,,1000,1800,1000,1800,1000,1800,,,1000,1800,1000,1400
광혜한의원,오전10시부터 오후 4시까지 진료합니다.,N,,,1000,1900,1400,2100,1000,1900,1400,2100,1000,1900,1000,1600
한솔부부한의원,전부 휴진,N,,,1000,1830,1000,1830,1000,1830,1000,1300,1000,1830,1000,1300
대영한의원,진료,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1330
보리은백한의원,전부 휴진,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
민강한의원,휴진,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
천지한의원,휴무,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1500
김동훈한의원,휴진,N,,,930,1830,930,1830,930,1830,1400,1830,930,1830,930,1410
소문한의원,휴무,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1300
세유한의원,,N,,,920,1850,920,1850,920,1850,920,1850,920,1850,920,1500
이혜진한의원,,N,,,,,,,,,,,,,,
남궁한의원,09:00~18:30,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
소생한의원,휴진,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
이승하한의원,전부휴진,N,,,930,1800,930,1800,930,1800,1400,1800,930,1800,930,1300
내몸편안한의원,휴진,N,0,0,900,1800,900,1800,900,1800,900,1800,900,1800,900,1600
대운한의원,오후 5시 이후,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
초심한의원,휴무,N,930,1400,930,1900,930,1900,930,1900,1400,1900,930,1900,930,1400
김승한의원,오후 1시 이후,N,,,,,,,,,,,,,,
전란희한의원,휴진,N,,,900,1800,900,1800,900,1800,900,1300,900,2100,,
소리청한의원,오전 10시부터 오후 3시까지 진료,N,,,1000,1900,1000,1900,,,1000,1900,1000,1900,1000,1500
우리가족한의원,,N,,,,,,,,,,,,,,
한샘한의원,9시~17시,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
경세민한의원,,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
창해한의원,휴진,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600
효당한의원,"휴진(단, 대체공휴일 및 임시공휴일은 오후2시까지)",N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
김용덕한의원,9:30~16:00,N,,,930,1930,930,1930,930,1930,1200,2130,930,1930,930,1600
곽상호한의원,9시30분~2시30분(점심시간 없이),N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1500
경주한의원,,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1230
다선한의원,휴무,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
소전경희한의원,,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1600
부산영천손한의원,,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1700
시선한의원,휴진,N,,,,,,,,,,,,,,
온정한의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
해밀한의원,전부휴진,Y,,,800,2200,800,2200,800,2200,800,2200,800,2200,800,1300
드림한의원,전부 휴진,N,,,1000,1830,1000,1830,,,1000,1830,1000,1830,1000,1330
장산한의원,,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1500
남천한의원,,N,,,1000,1900,1000,1900,1000,1900,1500,1900,1000,1900,1000,1400
선하한의원,전화문의,N,,,930,1900,930,1900,930,1900,,,930,1900,930,1600
푸른솔한의원,오후 4시 이후,N,,,900,,900,1900,900,1900,900,1300,900,1900,900,1600
생기한의원,전부 휴진,N,,,,,,,,,,,,,,
웰니스한의원,공휴일 진료,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
고현한의원,전부 휴진,N,,,900,630,900,630,900,630,900,630,900,630,900,1300
가온누리한의원,전부휴진,N,,,1000,1800,1000,1800,1400,2100,1000,1800,1000,1800,1000,1300
일광한의원,국가공휴일 휴진,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1600
편작한의원,5시이후,N,900,1500,900,1830,900,1830,900,1830,900,1830,900,1830,900,1700
안국한의원,오후 5시 이후 휴진 (진료: 오전 9시 ~ 오후 5시),N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1700
청아인한의원,,N,,,,,,,,,,,,,,
대추나무한의원,전부 휴진,N,,,930,1800,930,2000,930,1800,930,2000,930,1800,930,1330
강윤호한의원,오후 5시 이후,N,,,,,,,,,,,,,,
삼동한의원,휴진,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
김민수한의원,휴무,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1600
김수철한의원,전부 휴진,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1430
신농한의원,전부 휴진,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1330
상화한의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1600
심재원한의원,,N,1000,1400,930,1900,930,1900,930,1900,,,930,1900,930,1900
365동백한의원,"진료(1월1일, 어린이날, 성탄절 휴진)",N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
청림한의원,전부 휴진,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
다산미즈한의원,오전 10시 ~오후 3시 점심시간 없이 진료,N,,,,,,,,,,,,,,
현앤정일침한의원,휴무,N,,,830,1800,830,1800,1300,2000,830,1800,830,1800,830,1300
바른해인한의원,전부 휴진,N,,,930,1830,930,1830,930,1830,930,1300,930,1830,930,1300
물만골한의원,,N,,,930,1900,930,2000,930,1900,930,2000,930,1900,930,1700
나무한의원,진료09시00-오후1시,N,0,0,930,1900,930,1900,930,1900,930,1900,930,1900,900,1300
효원한의원,전부 휴진,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1300
일맥한의원,전부 휴진,N,,,1030,2030,1030,2030,,,1030,2030,1030,2030,1030,1400
이정원한의원,전부휴진,N,900,1600,900,1700,,,900,1700,900,1700,,,900,1600
명한의원,오후 3시이후,N,,,930,1900,930,1500,930,1900,,,930,1900,930,1500
덕천한의원,오후3시까지진료.,N,,,900,2100,900,1900,900,1900,900,2100,900,1900,900,1500
제민한의원,09:00-14:00,N,,,900,1900,900,1900,900,1300,900,1900,900,1900,900,1400
산삼한의원,오후 3시 이후,N,930,1500,930,2000,930,2000,930,2000,930,2000,930,2000,930,1500
초읍해맑은한의원,휴진,N,,,,,,,,,,,,,,
나비솔한의원,9시 30분~ 2시 까지 근무,N,,,930,1800,930,2000,,,930,2000,930,1800,930,1400
김재연한의원,전부 휴진,N,,,830,1800,830,1800,830,1800,830,1300,830,1800,830,1400
해광한의원,2시까지 진료,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
박인범한의원,휴진/대체공휴일 진료,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
윤혜리한의원,전부 휴진,N,,,,,,,,,,,,,,
하늘마음한의원,전부 휴진,N,,,1000,1800,1000,2100,1000,1800,1000,2100,1000,1800,930,1530
지성한의원,,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
경희홍익한의원,전부휴진,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
이동윤한의원,전부 휴진,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,930,1300
평안한의원,전부 휴진,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
건담한의원,전부휴진,N,,,1000,2000,1000,1800,1000,2000,1000,1800,1000,1800,930,1500
경희은한의원,,N,,,,,,,,,,,,,,
덕산한의원,오후 1시까지 진료,N,,,900,1830,900,1830,900,1300,900,1830,900,1830,900,1300
코코한의원,,N,,,1000,1830,1000,1830,1400,1830,1000,1830,1000,1830,1000,1500
다솜한의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1300,900,1800,900,1800
괴정동의한의원,휴진,N,,,930,650,930,650,930,650,930,650,930,650,930,1500
강한의원,전부휴진,N,,,900,2000,900,2000,900,2000,900,2000,900,2000,900,1300
해수한의원,,N,,,,,,,,,,,,,,
버드나무한의원,"15시 이후휴진, 설,추석명절휴무",N,0,0,900,2000,900,1900,900,1900,900,1900,900,2000,900,1500
정담한의원,오전진료(9;30~13;30),N,,,930,1830,930,1930,930,1830,1400,1930,930,1830,930,1330
보경한의원,,N,,,930,2100,930,1900,930,1900,1400,2100,930,1900,900,1500
재생한의원,9시- 14시까지 진료합니다.,N,,,900,1900,900,1900,900,1900,1400,2100,900,1900,900,1400
호박한의원,9:30~13:30,N,,,930,1900,930,1900,930,1900,930,1400,930,1900,930,1400
민창한의원,전부휴진,N,,,900,1930,900,1900,900,1900,900,1900,900,1930,,
해은한의원,5시까지,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
청담약손한의원,9시-1시까지,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
이성록한의원,휴진,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
평화강한의원,전부 휴진,N,,,930,1900,930,1900,930,1900,930,1300,930,1900,930,1300
영도한의원,휴진,N,,,830,1900,830,1900,830,1900,830,1900,830,1900,830,1900
대신한의원,전부 휴진,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1700
가온자리한의원,휴진,N,,,930,1800,930,1800,930,1800,930,1800,930,1800,,
호한의원,,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1500
세현한의원,종일 휴진,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
장산부부한의원,전부 휴진,N,,,,,,,,,,,,,,
정관고려한의원,휴진,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1300
우성한의원,전부 휴진,N,,,,,,,,,,,,,,
센텀수한의원,전부휴진,N,,,930,1900,930,1900,930,1900,,,930,1900,930,1300
동의서면한의원,휴진,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
평거한의원,전부휴진,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1530
사암통도한의원,"일요일,수요일 제외한 공휴일은 정상진료",N,,,900,1800,900,1800,,,900,1800,900,1800,900,1800
해맑은한의원,전부휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1400
참힐링한의원,오후 2시 이후,N,,,930,2000,930,2000,930,2000,930,2000,930,2000,930,1400
이루다한의원,휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1500
금강한의원,9:30~14:00 진료,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1400
바른몸청담한의원,,N,,,930,2100,930,2100,930,2100,930,2100,930,2100,930,1400
유진한의원,전부휴진',N,,,900,1900,900,2100,900,1900,,,900,2100,900,1400
주례용한의원,,N,,,900,1900,900,1900,900,1900,900,1900,900,1900,900,1300
허재규한의원,전부휴진,N,0,0,900,1900,900,1900,900,1900,900,1900,900,1900,900,1400
미담한의원,휴진없음(8:00~13:00까지 진료),N,900,1300,800,2000,800,2000,800,2000,800,2000,800,2000,800,1700
김상대한의원,,N,,,930,2000,930,2000,930,2000,930,1600,930,2000,930,1600
범일신통한의원,9:30 ~ 1: 00,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1500
제일한의원,,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1300
반여한의원,휴뮤,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
대성류한의원,휴진,N,,,900,1900,900,1900,900,1900,900,1500,900,1900,900,1500
마이비한의원,09시30분~14시 00분이후 휴진,N,,,930,2000,930,2000,930,2000,930,2000,930,2000,930,1400
참사랑한의원,,N,,,830,1800,830,1800,830,1800,830,1800,830,1800,830,1400
경희세광한의원,전부 휴진,N,,,900,1800,900,1800,,,900,1800,900,1800,900,1300
두실정담한의원,전부 휴진,N,,,930,2100,930,1900,930,2100,930,1900,930,1900,930,1500
자연드림한의원,휴진,N,,,900,1500,900,2000,900,1500,900,2000,900,1500,900,1300
광명한의원,오후 12시 이후,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1200
명제한의원,오전9시~오후3시30까지,N,0,0,900,1830,900,1830,900,1830,0,0,900,1830,900,1530
자윤수한의원,전부 휴진,N,,,1000,1900,1000,1900,1000,1900,1000,1900,1000,1900,1000,1400
동래우리한의원,전부 휴진,N,,,930,1830,930,1830,930,1830,930,1830,930,1830,930,1400
사랑가득한의원,,N,,,900,1830,900,1830,900,1830,900,1830,900,1830,900,1300
새봄한의원,전부 휴진,N,,,930,1900,930,1930,930,1900,930,1930,930,1900,930,1500
청랑한의원,,N,930,1300,900,1830,900,1830,900,2030,900,1830,900,1830,900,1300
황금약손한의원,,N,,,930,2100,930,2100,930,2100,930,2100,930,2100,930,1400
약손부부한의원,,N,,,900,1900,900,1900,900,1900,,,900,1900,900,1500
정인부부한의원,,N,1000,1500,930,1900,930,1900,930,1900,930,1900,930,1900,930,1500
정한의원,,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
손호영한의원,,N,,,930,2030,930,1900,930,1900,1400,2030,930,1900,930,1400
화목한의원,휴진/ 대체휴일은 단축진료,N,,,930,1900,930,1900,930,1900,930,1900,930,1900,930,1530
(의)삼세의료재단 삼세한의원,휴진(대체공휴일은 정상진료합니다),N,,,,,,,,,,,,,,
대통한의원,"설, 추석, 공휴일, 대체공휴일은 휴진입니다.",N,930,1230,930,1830,930,2000,930,1830,930,2000,930,1830,,
기장한의원,전부 휴진,N,,,900,1800,900,1800,900,1800,900,1800,900,1800,900,1300
경희한의원,"휴진, 단 근로자의 날(5월1일), 한글날(10월9일), 대체휴일 은 정상진료함.",N,,,,,,,,,,,,,,
보명당한의원,전부 휴진,N,,,930,1800,930,1800,930,1300,930,1800,930,1800,930,1300
정도한의원,,N,1300,1900,1000,2100,1000,2100,1000,2100,1000,2100,1000,2100,1000,1700
